Angka Kecukupan Gizi (AKG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Kecukupan Gizi (AKG) adalah suatu nilai yang menunjukkan kebutuhan rata-rata zat gizi tertentu yang harus dipenuhi setiap hari bagi hampir semua orang dengan karakteristik tertentu yang meliputi umur, jenis kelamin, tingkat aktivitas fisik, dan kondisi fisiologis, untuk hidup sehat (sesuai Pasal 1 Permenkes No.28 Tahun 2019).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Kecukupan Gizi digunakan pada tingkat konsumsi yang meliputi kecukupan energi, protein, lemak, karbohidrat, serat, air, vitamin, dan mineral (Pasal 2 Permenkes No.28 Tahun 2019).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AKG tersebut dianjurkan untuk masyarakat khususnya di Indonesia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dalam AKG ditetapkan estimasi rata-rata angka kecukupan energi bagi masyarakat Indonesia sebesar 57 gram per orang per hari pada tingkat konsumsi, dan rata-rata angka kecukupan protein sebesar 2100 kilo kalori per orang per hari pada tingkat konsumsi (Pasal 3 Permenkes No.28 Tahun 2019).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Penggunaan AKG harus memperhatikan prinsip dan tata cara penggunaannya, yaitu harus sesuai dengan Pedoman Penggunaan AKG sebagaimana tercantum dalam Lampiran II Permenkes No.28 Tahun 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dengan berlakunya Permenkes No.28 Tahun 2019, maka Permenkes No.75 Tahun 2013 tentang AKG, dicabut dan dinyatakan tidak berlaku.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tabel AKG di bawah ini berdasarkan standar Kemenkes RI (Lampiran Permenkes No.28 Tahun 2019) untuk kebutuhan rata-rata manusia sehat di Indonesia sesuai dengan kelompok umur, jenis kelamin, dan kondisi fisiologis (ukuran tubuh) agar dapat mencapai kesehatan yang optimal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klik umur-nya di bawah ini untuk menampilkan data gizi lengkapnya.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tabel Angka Kecukupan Gizi (AKG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kelompok;Energi, Protein, Lemak, Karbohidrat, Serat dan Air;;;;;;;;;;Kelompok;Vitamin;;;;;;;;;;;;;;Kelompok;Mineral;;;;;;;;;;;;;
Umur;Berat;Tinggi;Energi;Protein;Lemak;Lemak;Lemak;Karbohidrat;Serat;Air;Umur;Vitamin;Vitamin;Vitamin E;Vitamin K;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B7;Vitamin B9;Vitamin B12;Kolin;Vitamin;Umur;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Mangan;Tembaga;Kromium;Besi;Iodium;Seng;Selenium;Fluor;Klor
;Badan;Badan;;;Total;Omega 6;Omega 3;;;;;A;D;(α-tokoferol);(filokuinon);(Tiamina);(Riboflavin);(Niasin);(Pantotenat);(Piridoksina);(Biotin);(Folat);(Kobalamin);(C5H14NO);C;;(Ca);(P);(Mg);(Na);(K);(Mn);(Cu);(Cr);(Fe);(I);(Zn);(Se);(F);(Cl)
;(kg);(cm);(kkal);(g);(g);(g);(g);(g);(g);(ml);;(RE);(μg);(μg);(μg);(mg);(mg);(mg);(mg);(mg);(μg);(μg);(μg);(mg);(mg);;(mg);(mg);(mg);(mg);(mg);(mg);(μg);(μg);(mg);(μg);(mg);(μg);(mg);(mg)
Bayi / Anak;;;;;;;;;;;Bayi / Anak;;;;;;;;;;;;;;;Bayi / Anak;;;;;;;;;;;;;;
0 - 5 bulan;6;60;550;9;31;4,4;0,5;59;0;700;0 - 5 bulan;375;10;4;5;0,2;0,3;2;1,7;0,1;5;80;0,4;125;40;0 - 5 bulan;200;100;30;120;400;0,003;200;0,2;0,3;90;1,1;7;0,01;180
6 - 11 bulan;9;72;800;15;35;4,4;0,5;105;11;900;6 - 11 bulan;400;10;5;10;0,3;0,4;4;1,8;0,3;6;80;1,5;150;50;6 - 11 bulan;270;275;55;370;700;0,7;220;6;11;120;3;10;0,5;570
1 - 3 tahun;13;92;1350;20;45;7;0,7;215;19;1150;1 - 3 tahun;400;15;6;15;0,5;0,5;6;2;0,5;8;160;1,5;200;40;1 - 3 tahun;650;460;65;800;2600;1,2;340;14;7;90;3;18;0,7;1200
4 - 6 tahun;19;113;1400;25;50;10;0,9;220;20;1450;4 - 6 tahun;450;15;7;20;0,6;0,6;8;3;0,6;12;200;1,5;250;45;4 - 6 tahun;1000;500;95;900;2700;1,5;440;16;10;120;5;21;1;1300
7 - 9 tahun;27;130;1650;40;55;10;0,9;250;23;1650;7 - 9 tahun;500;15;8;25;0,9;0,9;10;4;1;12;300;2;375;45;7 - 9 tahun;1000;500;135;1000;3200;1,7;570;21;10;120;5;22;1,4;1500
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laki-laki;Berat;Tinggi;Energi;Protein;Lemak;Lemak;Lemak;Karbohidrat;Serat;Air;Laki-laki;Vitamin;Vitamin;Vitamin E;Vitamin K;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B7;Vitamin B9;Vitamin B12;Kolin;Vitamin;Laki-laki;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Mangan;Tembaga;Kromium;Besi;Iodium;Seng;Selenium;Fluor;Klor
;Badan;Badan;;;Total;Omega 6;Omega 3;;;;;A;D;(α-tokoferol);(filokuinon);(Tiamina);(Riboflavin);(Niasin);(Pantotenat);(Piridoksina);(Biotin);(Folat);(Kobalamin);(C5H14NO);C;;(Ca);(P);(Mg);(Na);(K);(Mn);(Cu);(Cr);(Fe);(I);(Zn);(Se);(F);(Cl)
10 - 12 tahun;36;145;2000;50;65;12;1,2;300;28;1850;10 - 12 tahun;600;15;11;35;1,1;1,3;12;5;1,3;20;400;3,5;375;50;10 - 12 tahun;1200;1250;160;1300;3900;1,9;700;28;8;120;8;22;1,8;1900
13 - 15 tahun;50;163;2400;70;80;16;1,6;350;34;2100;13 - 15 tahun;600;15;15;55;1,2;1,3;16;5;1,3;25;400;4;550;75;13 - 15 tahun;1200;1250;225;1500;4800;2,2;795;36;11;150;11;30;2,5;2300
16 - 18 tahun;60;168;2650;75;85;16;1,6;400;37;2300;16 - 18 tahun;700;15;15;55;1,2;1,3;16;5;1,3;30;400;4;550;90;16 - 18 tahun;1200;1250;270;1700;5300;2,3;890;41;11;150;11;36;4;2500
19 - 29 tahun;60;168;2650;65;75;17;1,6;430;37;2500;19 - 29 tahun;650;15;15;65;1,2;1,3;16;5;1,3;30;400;4;550;90;19 - 29 tahun;1000;700;360;1500;4700;2,3;900;36;9;150;11;30;4;2250
30 - 49 tahun;60;166;2550;65;70;17;1,6;415;36;2500;30 - 49 tahun;650;15;15;65;1,2;1,3;16;5;1,3;30;400;4;550;90;30 - 49 tahun;1000;700;360;1500;4700;2,3;900;34;9;150;11;30;4;2250
50 - 64 tahun;60;166;2150;65;60;14;1,6;340;30;2500;50 - 64 tahun;650;15;15;65;1,2;1,3;16;5;1,7;30;400;4;550;90;50 - 64 tahun;1200;700;360;1300;4700;2,3;900;29;9;150;11;30;4;2100
65 - 80 tahun;58;164;1800;64;50;14;1,6;275;25;1800;65 - 80 tahun;650;20;15;65;1,2;1,3;16;5;1,7;30;400;4;550;90;65 - 80 tahun;1200;700;350;1100;4700;2,3;900;24;9;150;11;29;4;1900
80+ tahun;58;164;1600;64;45;14;1,6;235;22;1600;80+ tahun;650;20;15;65;1,2;1,3;16;5;1,7;30;400;4;550;90;80+ tahun;1200;700;350;1000;4700;2,3;900;21;9;150;11;29;4;1600
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perempuan;Berat;Tinggi;Energi;Protein;Lemak;Lemak;Lemak;Karbohidrat;Serat;Air;Perempuan;Vitamin;Vitamin;Vitamin E;Vitamin K;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B7;Vitamin B9;Vitamin B12;Kolin;Vitamin;Perempuan;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Mangan;Tembaga;Kromium;Besi;Iodium;Seng;Selenium;Fluor;Klor
;Badan;Badan;;;Total;Omega 6;Omega 3;;;;;A;D;(α-tokoferol);(filokuinon);(Tiamina);(Riboflavin);(Niasin);(Pantotenat);(Piridoksina);(Biotin);(Folat);(Kobalamin);(C5H14NO);C;;(Ca);(P);(Mg);(Na);(K);(Mn);(Cu);(Cr);(Fe);(I);(Zn);(Se);(F);(Cl)
10 - 12 tahun;38;147;1900;55;65;10;1;280;27;1850;10 - 12 tahun;600;15;15;35;1;1;12;5;1,2;20;400;3,5;375;50;10 - 12 tahun;1200;1250;170;1400;4400;1,6;700;26;8;120;8;19;1,9;2100
13 - 15 tahun;48;156;2050;65;70;11;1,1;300;29;2100;13 - 15 tahun;600;15;15;55;1,1;1;14;5;1,2;25;400;4;400;65;13 - 15 tahun;1200;1250;220;1500;4800;1,6;795;27;15;150;9;24;2,4;2300
16 - 18 tahun;52;159;2100;65;70;11;1,1;300;29;2150;16 - 18 tahun;600;15;15;55;1,1;1;14;5;1,2;30;400;4;425;75;16 - 18 tahun;1200;1250;230;1600;5000;1,8;890;29;15;150;9;26;3;2400
19 - 29 tahun;55;159;2250;60;65;12;1,1;360;32;2350;19 - 29 tahun;600;15;15;55;1,1;1,1;14;5;1,3;30;400;4;425;75;19 - 29 tahun;1000;700;330;1500;4700;1,8;900;30;18;150;8;24;3;2250
30 - 49 tahun;56;158;2150;60;60;12;1,1;340;30;2350;30 - 49 tahun;600;15;15;55;1,1;1,1;14;5;1,3;30;400;4;425;75;30 - 49 tahun;1000;700;340;1500;4700;1,8;900;29;18;150;8;25;3;2250
50 - 64 tahun;56;158;1800;60;50;11;1,1;280;25;2350;50 - 64 tahun;600;15;15;55;1,1;1,1;14;5;1,5;30;400;4;425;75;50 - 64 tahun;1200;700;340;1400;4700;1,8;900;24;8;150;8;25;3;2100
65 - 80 tahun;53;157;1550;58;45;11;1,1;230;22;1550;65 - 80 tahun;600;20;20;55;1,1;1,1;14;5;1,5;30;400;4;425;75;65 - 80 tahun;1200;700;320;1200;4700;1,8;900;21;8;150;8;24;3;1900
80+ tahun;53;157;1400;58;40;11;1,1;200;20;1400;80+ tahun;600;20;20;55;1,1;1,1;14;5;1,5;30;400;4;425;75;80+ tahun;1200;700;320;1000;4700;1,8;900;19;8;150;8;24;3;1600
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hamil (+ tambahan);Berat;Tinggi;Energi;Protein;Lemak;Lemak;Lemak;Karbohidrat;Serat;Air;Hamil (+ tambahan);Vitamin;Vitamin;Vitamin E;Vitamin K;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B7;Vitamin B9;Vitamin B12;Kolin;Vitamin;Hamil (+ tambahan);Kalsium;Fosfor;Magnesium;Natrium;Kalium;Mangan;Tembaga;Kromium;Besi;Iodium;Seng;Selenium;Fluor;Klor
;Badan;Badan;;;Total;Omega 6;Omega 3;;;;;A;D;(α-tokoferol);(filokuinon);(Tiamina);(Riboflavin);(Niasin);(Pantotenat);(Piridoksina);(Biotin);(Folat);(Kobalamin);(C5H14NO);C;;(Ca);(P);(Mg);(Na);(K);(Mn);(Cu);(Cr);(Fe);(I);(Zn);(Se);(F);(Cl)
01 - 13 minggu;;;180;1;2,3;2;0,3;25;3;300;01 - 13 minggu;300;0;0;0;0,3;0,3;4;1;0,6;0;200;0,5;25;10;01 - 13 minggu;200;0;0;0;0;0,2;100;5;0;70;2;5;0;0
14 - 27 minggu;;;300;10;2,3;2;0,3;40;4;300;14 - 27 minggu;300;0;0;0;0,3;0,3;4;1;0,6;0;200;0,5;25;10;14 - 27 minggu;200;0;0;0;0;0,2;100;5;9;70;4;5;0;0
28 - 41 minggu;;;300;30;2,3;2;0,3;40;4;300;28 - 41 minggu;350;0;0;0;0,3;0,3;4;1;0,6;0;200;0,5;25;10;28 - 41 minggu;200;0;0;0;0;0,2;100;5;9;70;4;5;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menyusui (+ tambahan);;;;;;;;;;;Menyusui (+ tambahan);;;;;;;;;;;;;;;Menyusui (+ tambahan);;;;;;;;;;;;;;
6 bulan pertama;;;330;20;2,2;2;0,2;45;5;800;6 bulan pertama;350;0;4;0;0,4;0,5;3;2;0,6;5;100;1;125;45;6 bulan pertama;200;0;0;0;400;0,8;400;20;0;140;5;10;0;0
6 bulan kedua;;;400;15;2,2;2;0,2;55;6;650;6 bulan kedua;350;0;4;0;0,4;0,5;3;2;0,6;5;100;1;125;45;6 bulan kedua;200;0;0;0;400;0,8;400;20;0;140;5;10;0;0
Keterangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01 - 13 minggu = Trimester 1 = sekitar 3 bulan pertama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 - 27 minggu = Trimester 2 = sekitar 3 bulan kedua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 - 41 minggu = Trimester 3 = sekitar 3 bulan ketiga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Istilah / Sebutan Lain AKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sesuai kepentingan, kebutuhan dan sudut pandang masing-masing serta kategori dan pengelompokkan nutrisi/gizi masing-masing, Angka Kecukupan Gisi (AKG) juga sering disebut sebagai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recommended Daily Allowance (RDA),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recommended Dietary Allowances (RDA),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kebutuhan Gizi/Nutrisi dalam 1 hari,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kebutuhan Diet dalam 1 hari,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asupan Makanan dalam 1 hari,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asupan Gizi dalam 1 hari,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka/Nilai Kebutuhan Gizi dalam 1 hari,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asupan Referensi Diet (ARD),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dietary Reference Intake (DRI),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asupan Diet yang Direkomendasikan (ADD) atau Dietary Recommended Intakes (DRI),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kebutuhan Makanan yang Direkomendasikan (KMD),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunjangan Makanan yang Direkomendasikan (TMD),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estimated Average Requirements (EAR) atau Estimasi Persyaratan Rata-Rata (EPR),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asupan Adekuat (A2) atau Adequate Intake (AIn),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batas Atas Asupan (BAA) atau Tolerable Upper Intake Levels (UL atau TUIL),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kisaran Distribusi Makronutrien yang Dapat Diterima (KDMD2) atau Acceptable Macronutrient Distribution Ranges (AMDR),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rekomendasi Kebutuhan Makanan (RKM),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rata-rata Distribusi Gizi (RDG),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batas Distribusi Nutrisi (BDN), ds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
