No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
1;BP019;Beras Cerdas;11,3;350;2,7;1,1;82,3;6,2;2,6;28;351;2,9;358;568;0,2;0,9;-;0,4;-;0,02;0,2;0,3;0,2;100;Olahan;Umbi;BKP
2;BP020;Beras ganyong;9,3;364;3,4;0,7;86,3;4,7;0,5;4;47;5;4;72,2;0,2;0,6;-;1.000;0,1;0,02;0,02;0,3;0,2;100;Olahan;Umbi;BKP
3;BP021;Beras Siger;13,5;344;1,1;0,2;28,3;5,6;0,7;32;22;5,6;106;77,9;0,1;0,5;-;-;-;0,02;0,1;0,2;0,2;100;Olahan;Umbi;BKP
4;AP008;Bihun Jagung, mentah;11,3;354;0,5;0,3;87,4;3;0,5;13;111;0,6;49;1,4;0,4;-;-;-;-;0,02;0,02;0,3;0,2;100;Olahan;Serealia;BKP
5;ER012;Buah Naga Merah, segar;85,7;71;1,7;3,1;9,1;3,2;0,4;13;14;0,4;128;128;-;0,4;-;-;-;0,5;0,3;0,5;1;67;Tunggal;Buah;BKP
6;ER013;Buah Naga Putih, segar;86,6;56;0,8;1;10,9;3,2;0,6;13;27;0,5;231;231;-;0,4;-;-;-;0,02;0,5;0,9;1;74;Tunggal;Buah;BKP
7;DR015;Bunga turi, segar;90,4;42;2;1,1;6,1;3,3;0,4;28;23;0,8;97;97,4;0,1;0,6;-;1.000;0,1;0,5;0,02;0,4;1;96;Tunggal;Sayur;BKP
8;DR040;Daun kenikir, segar;87,6;45;3,7;0,5;6,6;5,8;1,7;328;65;2,7;431;431;0,1;0,6;-;30.000;12;0,5;0,3;4,5;0,2;36;Tunggal;Sayur;BKP
9;BP026;Gatot;12,8;347;1,3;0,7;83,8;5,8;1,4;78;44;17,1;28;242;0,2;0,7;-;-;-;0,02;0,1;0,4;0,2;100;Olahan;Umbi;BKP
10;BP027;Geblek;52,1;195;0,4;1,7;44,4;3,6;1,4;35;13;0,6;353;125;0,3;0,3;-;-;0,3;0,02;-;0,1;0,2;100;Olahan;Umbi;BKP
11;GR072;Ikan Sale, segar;8,5;534;40,2;39,3;4,9;2;7,1;199;1.244;2,7;673;673;0,3;2,6;-;410;-;0,02;0,5;-;0,2;100;Tunggal;Ikan dsb;BKP
12;DR089;Jamur merang, segar;91,5;30;3,5;0,2;4;2,4;0,8;14;117;1;300;300;0,3;0,8;-;-;-;0,02;0,2;0,5;0,2;100;Tunggal;Sayur;BKP
13;DR090;Jamur tiram, segar;92,5;30;1,9;0,1;5,5;3,6;0,6;9;83;0,7;226;226;-;0,8;-;-;-;0,3;0,2;1;0,2;100;Tunggal;Sayur;BKP
14;ER038;Jeruk Kalamansi, segar;90,2;39;0,3;0,3;8,9;2,3;0,4;42;85;0,5;82;82;0,3;0,1;-;1.000;0,3;0,02;0,1;-;30;100;Tunggal;Buah;BKP
15;ER067;Melon, segar;90,8;37;0,6;0,4;7,8;1;0,5;12;14;0,4;167;167;0,3;0,1;-;1.000;-;0,02;0,1;-;0,2;58;Tunggal;Buah;BKP
16;BP050;Mie Bendo;11,5;353;0,3;-;88;2,4;0,2;28;14;2,8;9;49,2;0,5;0,1;-;2.000;-;0,02;-;0,1;0,2;100;Olahan;Umbi;BKP
17;BP051;Mie Sagu;52,8;190;0,2;0,4;46,5;1,4;0,1;8;7;0,3;10;2,6;0,1;-;-;2.000;-;-;0,4;-;0,2;100;Olahan;Umbi;BKP
18;AP009;Nasi jagung;11;357;8,8;0,5;79,5;6,2;0,3;5;43;0,6;2;30,4;0,1;0,3;-;-;-;0,3;0,02;0,1;0,2;100;Olahan;Serealia;BKP
19;BP053;Oyek;12,6;351;0,9;0,9;84,9;4,3;0,7;60;36;2,1;5;229;0,1;0,5;-;-;-;0,02;0,02;0,5;0,2;100;Olahan;Umbi;BKP
20;BP055;Rasbi (Beras Ubi);11,1;394;2,2;8,8;76,6;6,8;1,3;68;76;1,6;165;388;0,4;0,4;-;-;-;0,02;0,3;1,2;0,2;100;Olahan;Umbi;BKP
21;BP056;Rasi (Beras Singkong);12,6;350;0,9;0,4;85,7;14,4;0,5;42;21;1,5;8;14;0,3;0,5;-;-;-;0,02;0,02;0,4;0,2;100;Olahan;Umbi;BKP
22;BP058;Sagu Lemak (Kue Sagon);4,3;452;2,8;14,8;76,8;1,1;0,7;15;39;1,1;182;52,7;0,04;0,8;-;1.220;-;0,32;0,04;0,1;0,2;100;Olahan;Umbi;BKP
23;BP060;Sagu Rendang;8,2;364;0,1;0,2;90,5;1,9;1;13;9;3,9;42;15,1;0,1;0,1;-;-;-;0,02;0,6;0,8;0,2;100;Olahan;Umbi;BKP
24;GP090;Sate Bandeng;47,1;283;12,1;16,8;20,9;2;3,1;118;186;1,2;543;199;0,2;0,9;-;2;-;0,02;0,02;-;0,3;82;Olahan;Ikan dsb;BKP
25;BP065;Tepung Ganyong;13,6;353;0,8;1,7;83,6;0,7;0,3;4;31;3,3;3;63,5;0,1;0,3;-;-;-;0,02;-;0,9;1;100;Olahan;Umbi;BKP
26;BP066;Tepung Gaplek;13;345;2,4;0,4;83,1;6,7;1,1;18;95;1,5;6;55;0,4;1,2;-;1.000;-;0,3;0,2;0,1;0,2;100;Olahan;Umbi;BKP
27;CP085;Tepung Jalejo;10;388;19;7,5;61,2;5,8;2,3;101;663;2;3;712;0,6;1,9;-;1.000;0,1;0,02;0,7;1,6;9;100;Olahan;Kacang;BKP
28;BP068;Tepung Mocaf;11,9;350;1,2;0,6;85;6;1,3;60;64;15,8;8;403;0,1;0,6;-;-;-;0,02;0,02;0,7;2;100;Olahan;Umbi;BKP
